index,text,true_narratives,true_claims
78,"uk wind farms were paid over £4.8 million ($7.88 million) to turn off their turbines over the holidays leaving tens of thousands of homes without power as storms hit the country. the payments, known as ‘constraint payments’, were paid because the national grid was unable to handle the extra wind power produced during the storms or because electricity usage was low. the ‘constraint payments’, which are paid to wind farms to turn off their turbines when winds hit up to 100 miles per hour, compensate firms for energy they are unable to sell. 
the payments are added to the bills of the country’s electricity consumers even though the storms resulted in power outages for thousands of homes.[i]","['N_3', 'N_4']","['C_20_0', 'C_26_0']"
79,"case in point: ridding america of crude oil will eliminate the lubricants for wind turbines.
the average wind farm contains roughly 150 turbines. each wind turbine needs 80 gallons of oil as lubricant, which is a pao (polyalphaolefin) synthetic oil based on approximately 12,000 gallons of crude oil. the oil for each turbine needs to be replaced once a year.
wind-turbine lubricants play a critical role in equipment operation, maintenance, and reliability of a wind farm. there are several lubrication points in a wind turbine, including gearbox, open gear, pitch gear, pitch bearing, rotor shaft, yaw bearing, yaw gear, hydraulic systems, and generator bearings. these points require various lubricants such as gear oils, hydraulic oils, and greases.
gear oil is used in lubricating gearboxes; grease is used on the main rotor shaft bearing, yaw bearing, pitch drive gears, blade bearing and generator bearing. hydraulic fluid is used in hydraulic systems for blade pitch control. improper or insufficient lubrication can lead to significant maintenance and operations cost or equipment downtime.
it is estimated that 3,800+ turbines would be needed to power a city the size of new york. that’s over 304,000 gallons of refined oil for just one city.",['N_1'],['C_2_2']
80,"yet these natural resources go largely untapped due to misguided environmental policies. states and companies are pressured to pursue decarbonization as part of a collection of “environmental, social, and governance” (esg) policies. promoted by progressive interest groups and democratic governors and state lawmakers, these policies encourage divestment of fossil fuels and the use of renewables such as wind turbines and solar panels.
this is a boon to beijing. the heritage report notes that china has a dominant market share in the production of many green energy resources, including 90% of the world’s battery storage market, 66% of global solar panel production, and 50% of wind turbine production. countless other renewable energy components and technologies depend to a large extent on chinese supply chains.
meanwhile, states and corporations are encouraging the replacement of the internal combustion engine, which uses gasoline or diesel fuel produced in american refineries, with battery-powered electric vehicles, whose batteries are made in china. all major automakers except toyota motors have promised to sell only battery-powered electric vehicles after 2035.
these environmental policies make the american economy more reliant on china, america’s adversary and a country with a poor record both on the environment and on human rights.",['N_7'],"['C_37_0', 'C_38_0']"
81,"ipa research shows that one third of australia’s prime agricultural land will need to be covered in solar panels and wind turbines to meet energy demand forecasts by 2050, on top of this, aemo’s plan calls for close to 10,000 km of new and upgraded transmission lines.“policymakers cannot escape the reality of the impact wind and solar energy generation will have on australia’s landscape, particularly on our prime agricultural land, which will have to be sacrificed to satisfy net zero mandates,” said mr wild.“yet the leadership of aemo is barracking for such an outcome. it is clear aemo is suffering from mission creep under its current leadership. australians need affordable and reliable energy, not a regulator advocating for ideologically based outcomes that will undermine our energy security.”","['N_3', 'N_4', 'N_5', 'N_7']","['C_25_2', 'C_26_0', 'C_30_0', 'C_4_0']"
82,"There is an existing tower within less than one mile on Arnold Highway, owned by Dominion Broadcasting. The Toledo television station objected to the weather tower as a potential interference to its television broadcast signal.",['N_0'],['C_0_0']
83,"in a presentation to sedgwick county commissioners when nextera’s proposal for the construction of new wind facilities was discussed, dave yearout, principal planner for wichita and sedgwick counties, 
cited research showing wind facilities can cause dangerous atmospheric conditions more than five miles from where large wind turbines are located, which he said could affect small aircraft using small airports and private landing strips across the counties and training exercises at mcconnell air force base.
subsequently, the sedgwick county commissioners banned commercial wind facilities from the county and enacted new permitting requirements for commercial solar energy industrial facilities, to protect aviation and small airports in the area. under the county commission’s new regulations, passed in mid-august, large-scale solar facilities will have to receive faa approval if they are to be sited within a mile of airport facilities.","['N_7', 'N_8']","['C_12_0', 'C_35_0', 'C_36_0']"
84,"It’s difficult for farmers using large modern equipment to pivot around bigger [wind turbine] poles and sometimes it results in them either missing or double seeding and double fertilizing cropland near the poles, Bradley said.",['N_3'],['C_25_2']
85,"The wine industry also could be harmed, said state Rep. Mary Dye, R-Pomeroy.
The Horse Heaven Hills has 27 percent of Washington state’s total grape production and produces some of the state’s most coveted wines, she said.
In west Texas, wind turbines have been found to raise temperatures about three-quarters of a degree and change the microclimate of the land, she said.
“I’m very concerned about the impact this change could make. It could devastate some of the area’s most important wine production areas,” she said.",['N_3'],['C_25_0']
86,"it might be okay for billionaires and inner-city elites to live with expensive and unreliable energy. they can afford such an extravagant fashion statement and have private generators on standby for when the rolling blackouts come around.however, it is the mainstream australians in the regions and outer suburbs that will feel the relentless blows through ever-increasing power bills, making it difficult to make ends meet. it will be the power plant workers and miners who will lose their jobs, and regional communities built around coal and coal-fired power generators, that will be the most devastated by the elites’ vanity project.the imminent power price hike coming to households and small business are not ‘very small. it is contributing to the cost-of-living crisis suffered by australian families and sheeting home the cold-hard reality that more renewables under net zero means higher prices and lower reliability.","['N_2', 'N_3', 'N_4']","['C_19_0', 'C_20_0', 'C_22_0', 'C_23_0', 'C_26_0']"
87,"Why is it that Ogle County never prospers from those kinds of decisions? Only the owners, unions and workers from outside Ogle County, lobbyists, and others we don’t hear about, are the ones to gain financially and get the tax advantage ($40 an acre). Why is it Ogle County residents will not benefit in any way?","['N_2', 'N_3']",['C_22_0']
88,"Baldwin County Commissioner Tucker Dorsey does not oppose alternative energy. He said, however, it would have a significant impact on the landscape and an insignificant impact on the economy.
“They’ll be between 400 and 500 feet tall, taller than any condominium we have at the beach. You’ll be able to see them from the Causeway,” said Dorsey. “It’s not like make wind turbines here. We don’t have contractors in Baldwin County that are built 500 foot wind turbines. We’re not buying the components locally. They’re not hiring labor locally. It only takes one or two people to maintain them. So it doesn’t generate any economy in Baldwin County.”","['N_2', 'N_3']","['C_11_0', 'C_23_0']"
89,"There is yet another irony in the jobs numbers: while social advocacy organizations can claim 20,704 green jobs, the renewable portion of the electric power generation industry (wind, solar, biomass, and geothermal) have only 4,700. So it looks as if more people have jobs promoting green energy than making green energy.","['N_3', 'N_6']","['C_23_0', 'C_32_3']"
90,"according to murdo fraser, a senior tory msp: “families who are struggling with overstretched household budgets at christmas time and have to meet ever-increasing energy bills will be horrified to see such vast sums of their money being paid to wind power companies for doing nothing. this exposes once again the over-reliance on wind developments as part of our energy mix when the grid capacity doesn’t currently exist to properly utilize the power produced.”","['N_3', 'N_4']","['C_20_0', 'C_22_0', 'C_26_0']"
91,"once wind and solar plants are built and paid for, they represent almost a free resource for producing electricity since there is no associated fuel cost and as such they would normally be dispatched before other technologies. but, there are other issues associated with china’s low capacity factors for their wind and solar units that make them less productive than those in the united states, including the inferiority of chinese wind turbines and solar panels, poor site selection or geography to obtain high wind speeds, a lack of adequate transmission lines to connect to the grid, and long distances over which the electricity has to be transmitted to reach population centers.",['N_0'],['C_0_0']
92,"The still-emerging links of the mafia to the once-booming wind and solar sector here are raising fresh questions about the use of government subsidies to fuel a shift toward cleaner energies, with critics claiming huge state incentives created excessive profits for companies and a market bubble ripe for fraud. China-based Suntech, the world’s largest solar panel maker, last month said it would need to restate more than two years of financial results because of allegedly fake capital put up to finance new plants in Italy. The discoveries here also follow so-called “eco-corruption” cases in Spain, where a number of companies stand accused of illegally tapping state aid.","['N_3', 'N_6']","['C_24_0', 'C_32_0', 'C_32_5']"
93,"Sen. Lamar Alexander, R-Tenn., a prominent opponent of the subsidy, criticized the tax credit in an statement to Roll Call as “a colossal, unjustified waste of taxpayer dollars at a time when the nation has an unsustainable debt.”
“The subsidy is so large that it allows wind developers in some markets to literally give away their electricity,” Alexander told the publication. “This in turn is forcing utilities to shut down nuclear plants and coal plants. After 20 years, there is no excuse for continuing to extend this subsidy of a mature technology, which was intended to jumpstart an industry.”","['N_3', 'N_6']","['C_24_0', 'C_28_4', 'C_28_5']"
94,Wind energy subsidies misdirect capital investment away from economically productive uses,['N_3'],['C_24_0']
95,"four years ago, the model for a “green economy” was spain, but as its economy crashed, it dumped the subsidies. if spain truly believed subsidizing wind power strengthened its economy, it would have increased the subsidies.",['N_3'],['C_24_0']
96,Local residents fear it’s a recipe for disaster. They’re worried vibrations from the giant turbine 49-storey wind turbines could destabilize the underground gas storage “pool.”,"['N_2', 'N_8']","['C_12_0', 'C_18_0', 'C_8_0']"
97,"Although it’s a provincial issue that’s out of his jurisdiction, Lobb said there is a “great energy mix” already and believes the focus should be on promoting nuclear power at the Bruce site and elsewhere in the province, rather than on wind along the lake shore. He also had questions that need answering about ice issues, depth and proximity of turbines to the shoreline, as well as the impact on tourism and private property.","['N_2', 'N_3']","['C_13_0', 'C_25_1', 'C_28_4', 'C_29_0']"
98,"That neighboring wind farm, which began operations in 2020, was a warning to some residents of Marshall County, who say the looming turbines, blinking red lights, engine humming and whooshing sounds when the blades rotate past the turbine’s tower will diminish their quality of life.","['N_2', 'N_8']","['C_11_0', 'C_6_0']"
100,"“People don’t come here to see high-voltage transmission lines and 600-foot towers. People come here for the open-unspoiled views,” Andresen said.","['N_2', 'N_3']","['C_11_0', 'C_25_1']"
101,"The wind industry generates pollution – albeit unconventional forms of it, such as noise, light, and visual pollution. It will attract the same animosity as more traditional, dirty forms of energy production if the industry fails to acknowledge, and address, its responsibilities.","['N_2', 'N_8']","['C_11_0', 'C_6_0']"
102,"Western Cape motorists should prepare themselves for major disruptions during the next few years as massive loads consisting of wind turbine components are transported by road from harbours to wind-generating sites, many of them along the West Coast.
Preparation work on the roads will include the “significant” restructuring of some intersections, along with the temporary removal of signs and fencing to accommodate the extremely long and heavy loads, the Windaba 2011 wind energy conference at the Cape Town International Convention Centre heard yesterday.",['N_2'],['C_18_1']
103,"for golden eagles, a goal of the 2016 eagle rule was to increase compliance and improve consistency and efficiency relating to permitting golden eagle take at wind-energy projects. however, those goals have not been realized. while participation in the permit program by wind energy projects has increased since 2016, it still remains well below our expectations. low application rates and permit-processing requirements that some have perceived as burdensome have resulted in few permits being issued for wind projects as compared to the number of operational wind projects in areas where golden eagles occur. as a result, golden eagles continue to be taken without implementation of conservation actions to offset that take.","['N_1', 'N_5']","['C_1_1', 'C_30_0']"
104,"the multibillion-dollar electric power line project, financed by a group called sunzia, would connect wind power facilities in eastern new mexico to the electric grid and supply power to arizona and california.
about 45 miles of the transmission lines would be located in a ""restricted zone"" because it would overlap an army missile testing ground at new mexico's white sands missile range.
'national security risk'
rep. steve pearce, r-n.m., says the plan would compromise the military base's central mission of testing cruise missiles and ""create a serious national security risk."" new mexico gov. susana martinez has also weighed in, saying: ""i am seriously concerned that the planned route for the project"" poses ""an unacceptable national security risk.""",['N_7'],['C_36_0']
106,"“The wind projects that are already in development will … degrade military training in North Carolina,” said Bottorff, a member of the North Carolina Military Affairs Commission.
Bottorff warned that mitigation to allow for construction and operation of the skyscraping wind turbines could be a death knell for North Carolina military bases.",['N_7'],['C_36_0']
107,The local ratepayer cannot assume the burden of national taxpayers. What the proponents of the Long Island Offshore Wind Project were unwilling to recognize is that the offshore industry in Europe owes its existence to national commitments that pick up at least a quarter of the development costs. It is unsustainable to expect 1 percent of the country to carry the load in development of renewable energy.,['N_3'],"['C_21_0', 'C_24_0']"
108,"ASONAHORES adds that the respect to the territorial zoning is vital, and the fact that Law 305 categorically establishes that the use of the marine strip can only be authorized for tourism activities or works of public interest, and in this case it’s a private power company.",['N_5'],['C_31_0']
109,"I believe that climate change is not man-made, but has probably been made worse by man and we should have an education process to reduce emissions. However, the Kyoto agreement, if followed through, will cost 150 billion each year.
I believe that the majority of that money should be spent elsewhere.
Climate change is big business, but should not be given priority, as it has been, before solving problems such as famine, disease and poverty.
A report, from a team made up of eight of the world’s most prominent economists, concluded that HIV/Aids, hunger, free trade and malaria were the world’s biggest and most solvable problems, and in that order.
One example – a comprehensive programme to prevent Aids would cost 27 billion. Yet it is said that the social benefits would be immense; it would avert more than 28 million new cases by 2010.
Programmes have been costed in respect of other diseases, hunger and establishing free trade, but climate change is given priority for the funding from the G8 countries.
From the little I know, I personally feel that is wrong.",['N_0'],['C_0_0']
110,"the u.k. is well on its way to meet its renewable energy targets in its generating sector for 2020 with over 29 percent of its electricity currently being generated from renewable energy resources. however, the generating sector alone will not get the country to achieve its greenhouse gas target of 80 percent reduction by 2050 from 1990 levels. to accomplish that goal, reductions are needed in its transport and heat sectors, where little progress has been made to date. to achieve those goals, the u.k. may need to ban gasoline and diesel vehicles and take other actions to encourage reductions in the heating sector.",['N_0'],['C_0_0']
111,"the harvard researchers found that the warming effect of wind turbines in the continental u.s. would be larger than the effect of reduced emissions for the first century of its operation. this is because the warming effect is predominantly local to the wind farm, while greenhouse gas concentrations must be reduced globally before the benefits are realized. the direct climate impacts of wind power are instant, while the benefits of reduced emissions accumulate slowly.",['N_1'],['C_2_0']
112,"it is also well below what germany needs to meet its target of 65 percent renewable electricity by 2030 as part of its energy transition, energiewende. germany gets 40 percent of its electricity from renewables today. the european union is counting on germany to attain its target so that it can meet its own 32 percent renewable energy target. furthermore, offshore wind cannot fill the gap, as germany is scheduled to build less than 15 percent of what is required—about 730 megawatts per year of offshore wind through to 2030.",['N_0'],['C_0_0']
113,"wind farms increase the temperature of the soil beneath them, which causes soil microbes to release more carbon dioxide, increasing the carbon emissions from natural sources.
large-scale solar power plants create a solar heat island effect. temperatures around one
solar power plant
were
5.4 degrees to 7.2 degrees fahrenheit warmer
than nearby wildlands.",['N_1'],['C_2_3']
114,"just as importantly, biden’s preferred wind and solar power impose their own substantial unique environmental harms. a peer-reviewed study recently published by harvard university scientists concludes that replacing conventional electricity with wind power would require covering one-third of the american landmass with wind turbines. requiring electrified vehicles would require covering fully half of the american landmass with wind turbines. either option would require the unprecedented destruction of wildlife and wildlife habitat on a horrendous scale. that would also be far worse for the environment than any plausible global warming scenarios.",['N_1'],"['C_1_0', 'C_2_0', 'C_4_0']"
116,"in addition, although it may shock many greens, higher prices thanks to the focus on renewables and discouragement of oil and gas production (and the higher costs for electricity and transportation that they have brought in their wake) will bring practically no climate benefits. even completely eliminating all fossil fuels from the united states would result in less than 0.2 degrees celsius in temperature mitigation by 2100, according to
research using
the epa’s own climate models.","['N_1', 'N_3', 'N_4']","['C_20_0', 'C_27_0', 'C_2_0']"
117,"your advocacy of “renewable” energy is fashionable but misplaced. using 14th-century technology to address a 21st-century non-problem would be silly enough in itself. what is worse, however, is that “renewables” have not only quadrupled the price of electricity but have also added to co2 emissions. the chief reason for this apparent paradox is that the more windmills and solar panels are connected to the grid the more grossly-inefficient, co2-emitting spinning reserve must be maintained in the often vain hope of preventing blackouts when the wind stops or the night falls.","['N_2', 'N_3', 'N_4']","['C_20_0', 'C_26_0', 'C_2_2']"
118,"president biden intends for the united states to have a zero-carbon generating sector by 2035. to do so, the grid’s carbon-producing electric technologies that generate over 50 percent of the country’s electricity must be replaced with wind and solar energy. wind turbine costs are estimated to increase by 10 percent over the next 12 to 18 months as the costs for the materials needed to make turbines and the costs for transporting them increase. one of the major components of a wind turbine is steel and china makes 57 percent of the world’s supply. steel production is very carbon-intensive, so china would need to scale it back to meet its commitments to the paris climate accord. but, china shows no signs of doing so as it is building additional blast furnace facilities that last 5 decades or more. china also uses coal for over 50 percent of its energy needs—the most carbon intensive energy fuel. it is unlikely that china will meet its paris climate commitments, but president biden is ignoring that issue and forcing americans to comply with his goals. sound familiar?","['N_1', 'N_3', 'N_4', 'N_7']","[‘C_27_0’, 'C_2_1', 'C_37_0', 'C_38_0']"
119,"the osage tribe opposed the project because of its potential intrusion on sacred burial sites, as well as the 420-foot-high turbines’ deadly impact on eagles.","['N_1', 'N_2']","['C_17_1', 'C_17_3', 'C_1_1']"
120,"the cape wind project has been opposed by organizations and individuals citing the following problems: hurting ocean views from homes and beaches, lowering property values, hurting the fishing and yachting industries and marine life, being too close to shipping lanes, privatizing of public property, and ruining the ancient religious rituals of the wampanoag indian tribes.","['N_1', 'N_2', 'N_3']","['C_11_0', 'C_13_0', 'C_14_0', 'C_17_3', 'C_1_2', 'C_25_3', 'C_25_4', 'C_5_0', ‘C_16_0’]"
121,"This is without even considering the extensive greenhouse gases produced by constructing these huge towers; shipping them across the ocean; trucking them to wherever the wind industry has overridden the local folks and imposed a wind “farm,” and building them.","[’N_1’, ’N_2', 'N_6']","['C_15_0', 'C_2_1', ‘C_5_0’, ‘C_32_5’]"
122,"“The PSB was under heavy political pressure to demonstrate that industrial-scale wind projects can be approved in Vermont” stated Greg Bryant, a Sheffield resident and member of Ridge Protectors. “They did not address a U.S. Fish & Wildlife Service letter that indicated UPC’s bird and bat studies were flawed. In addition they did not acknowledge that UPC has exceeded permitted noise levels at their Mars Hill, Maine project and continues to operate there without undertaking mitigation measures, said Bryant.","['N_1', 'N_5', 'N_6', 'N_8']","['C_1_1', 'C_30_0', 'C_32_1', 'C_32_5', 'C_6_0']"
123,"I write to address the article in last week’s Jamestown Press – “Turbine Sparks Veiled Threat.” In the story, a Providence attorney named Brian Lamoureux, who has been hired by the Rhode Island Turnpike and Bridge Authority, states that there is great danger that “shadow flicker” may distract drivers driving on the Newport Bridge or elsewhere nearby.",['N_8'],"['C_12_0', 'C_7_0']"
124,"They also expressed concerns over the noise, vibrations, visual impact, decreased house prices and shadow flicker from the blades, which they claimed could cause cars to swerve off the road.",['N_8'],"['C_12_0', 'C_7_0']"
125,"A 60-meter-high wind turbine [Gamesa G80] near a nuclear power plant in northern Kyushu caught fire on Aug. 21, posing difficulties for fire-fighting efforts from the danger of falling parts.
A resident reported the blaze at the Kushizaki wind-generating power plant in an emergency phone call at around 2:55 p.m. One of the turbine blades and the connecting area around the base of the blades caught fire, according to Saga prefectural police and fire department officials.
The blaze was confirmed extinguished at around 6:50 a.m. of Aug. 22. No injuries were reported.
A fire department spokesperson said firefighters were unable to shoot water at the flames due to the fear of falling debris.",['N_8'],['C_12_0']
126,"Blades of a wind turbine totaling 100 tons fell off 140 meters and broke into pieces in the Mekong Delta province of Bac Lieu on Friday.
Residents of Hoa Binh District heard a loud noise at around 5 p.m. Friday and saw wing blades at Hoa Binh Wind Power No. 5 fell to the ground. No person was injured.
Authorities of the district were seen on site Saturday morning to examine the accident.
The blades, each of which is 80 meters long and three meters wide, broke into many pieces in an area of 50 square meters.
The project was being developed by Hacom Bac Lieu Energy.
The blades also damaged a storage house of a local fish farm. There were three people in the house when the blades dropped but no one was hurt, said Nguyen Van Kien, owner of the farm.
Wind turbine blades are made by light materials such as plastic and fiberglass. The inside of a blade was exposed after the fall.
The turbines in the project have been suspended after the incident.
The rotor, which weighs dozens of tons, created a hole of five meters deep.
The incident also broke the project’s internal power line.",['N_8'],['C_12_0']
127,"Neither the state nor the towns have the equipment that can cope with turbine fires and their spreading blazes in steep, remote and heavily winded areas. California alone has now experienced at least eight forest fires caused by broken, flaming turbines.
And the taller the turbines, the more susceptible they are to fires from lightning strikes. I think all of Maine’s wind towers will be at least 400 feet tall. But lightning strikes cause only a minority of the world’s turbine fires
– most are due to mechanical malfunctions.","['N_5', 'N_8']","['C_12_0', 'C_30_0']"
128,"In light of the recent blaze at Currandooley, the rejection cites the increased bush fire danger due to the “additional vegetation planting to reduce visual impact” and obstruction from the proposed turbines for fighting fires from the air.",['N_8'],['C_12_0']
130,"“these sources of energy are not only intermittent and expensive, but they also are hardly ‘green’ in nature,” he said. “in fact, they are fabricated from minerals mined in parts of the world with terrible environmental standards, are toxic in nature, and pose a clear and present threat to endangered species such as whales and eagles.”","['N_1', 'N_3', 'N_4']","['C_1_1', 'C_1_2', 'C_26_0', 'C_27_0', 'C_3_0']"
131,"According to chief executive of the Slovak Ornitological Society/Bird Life Slovensko Rastislav Rybanic, wind-power plants have a dramatic effect on local wildlife and the environment. The spinning blades emit negative vibrations, and so should be placed at least 1.5 kilometres from residential areas. A project of this scale also calls for a detailed study of its effect on wildlife, and especially migrating birds.","['N_1', 'N_8']","['C_1_0', 'C_1_1', 'C_8_0']"
132,"But Bird also had bad news.
“We see negative impacts for Henderson for areas that have views of the Galloo Island facility should it be built,” Bird said.
That means homes with a direct view of Galloo Island and the spinning turbines could see their property values drop as much as 23 percent. That’s a high estimate. 
Robert Ashodian’s  home overlooks the lake, and to his dismay, Galloo island.
“That is very visible to my property and the homes next to me are high price houses.”","['N_2', 'N_3']","['C_11_0', 'C_13_0', 'C_21_0']"
133,"Nick Kurtegli noted he’s building a house at on Irish Creek Road, that’s on the north end of the projected area
“There’ve been three new houses within a mile of me, all within the last seven years,” he said. “There’s property being bought and houses built. That will stop immediately if there are turbines everywhere.”",['N_2'],['C_13_0']
134,"“We’re concerned that (seabirds) could fly into the turbines, particularly if it’s really foggy,” Welch said. “These birds are already traveling long distances, and if they have to fly around a wind turbine array – some of these they’re proposing are hundreds of turbines – will they have the ability to make the same flights, or will this be too much for them?
“We’re hoping we can find a place that will be good for wind development that will also not be harmful to seabirds.”",['N_1'],['C_1_1']
135,"If wind farms are built in their migration route, it could increase stressors the ducks face.
“If they have to fly around one farm, that’s not a big deal,” Therrien said. “But say there’s wind farms up and down the coast. … It could be another factor that will add to the physiological stress of the birds” and increase mortality.",['N_1'],['C_1_1']
136,"Dr William Fowlds, chairman of Indalo, the association of private game reserves in the area, said although the proposed Grahamstown wind farm comprised just nine turbines, “we are concerned it is the thin end of the wedge”. “We have been told by environmental consultants involved in this project that this is one of 30 to 60 wind farms proposed for the Eastern Cape and if this one is approved it will open the door for the rest. “Besides our concerns about bird and bat strikes, in terms of the visual aspect this would transform a landscape attractive to eco-tourists to an industrial landscape.","['N_1', 'N_2', 'N_3']","['C_11_0', 'C_1_1', 'C_25_1']"
137,"Everyone driving, walking their dog, fishing, boating and hunting inland and along Superior’s south shore that now views the majesty of these mountains will have this industrial intrusion thrust into their life.
These large wind farms might be a beatification project off the coast of industrial Detroit or New Jersey. For most of us, they will be an eyesore that lowers our quality of life.","['N_2', 'N_8']","['C_11_0', 'C_17_0', ‘C_16_0’]"
138,"We are also opposed to these turbines being installed on private property in western Maryland. Much research has revealed that it will cause wildlife mortality, avian mortality, wildlife habitat loss and destruction, public land loss to recreational activities, and public access denied to both public and private lands because of liability issues where these turbines are installed.","['N_1', 'N_2']","['C_14_0', 'C_16_0', 'C_1_0', 'C_1_1']"
139,"The county also expressed concerns about how the [wind] project might affect the Tug Hill Aquifer, nearby wetlands, hunting and other outdoor sports that draw tourists to the area in its comments to the state Public Service Commission.","['N_1', 'N_2', 'N_3']","['C_1_0', 'C_25_1', 'C_25_3', 'C_3_0', 'C_9_0', ‘C_16_0’]"
140,"a wind turbine in wisconsin collapsed, leaving a crater and debris strewn across a field. the blades and top portion of the wind turbine collapsed in dodge county, near the town of herman in southern wisconsin. the ge turbine, which is part of the butler ridge wind farm, stands about 400 feet above the ground. the collapse was so massive that it caused nearby houses to shake.","[’N_8’, ’N_2’]",['C_12_0']
141,"look, amanda, you make a really important point [about the wind project]. at a meeting earlier today, we met with the cfa official and the information that he provided us was shocking and concerning. it is clear, based on that information, that people will die as a result of this because they cannot adequately control and manage bushfire risk when you have these massive steel apparatus being set up across the countryside. they have been telling this and feeding this back into our political leaders and those making these decisions and they’re simply not listening and the community is absolutely beside themselves.","['N_2', 'N_5', 'N_8']","['C_12_0', 'C_32_4']"
142,"ipa research shows that one third of australia’s prime agricultural land will need to be covered in solar panels and wind turbines to meet energy demand forecasts by 2050, on top of this, aemo’s plan calls for close to 10,000 km of new and upgraded transmission lines.“policymakers cannot escape the reality of the impact wind and solar energy generation will have on australia’s landscape, particularly on our prime agricultural land, which will have to be sacrificed to satisfy net zero mandates,” said mr wild.","['N_2', 'N_3', 'N_4']","['C_25_2', 'C_4_0']"
143,"Effects [of wind projects] on humans range from dizziness, and nausea to concerns about dirty electricity and the potential for electromagnetic waves to cause an irregular heartbeat or atrial fibrillation. Sleep disturbance, not simply awakened, but awakening in a panic (“flight or fight”), Headache, Tinnitus, Ear Pressure, Vertigo, Visual blurring, Tachycardia, Irritability, problems with concentration and memory, Panic episodes associated with sensations of internal pulsation or quivering, which arise while awake or asleep. (This latter involving other, thickening of arteries, non-vestibular organs of balance, motion, and position sense.)",['N_8'],['C_10_0']
144,"Residents said the power line [from the wind project] will degrade natural areas with a 250-foot-wide clearcut, increase the likelihood of wildfires linked to transmission lines, cause health issues from electromagnetic fields, blot the land with an eyesore and damage the wagon tracks of the Oregon Trail.","['N_1', 'N_2', 'N_8']","['C_10_0', 'C_11_0', 'C_12_0']"
145,"Other issues [with the wind farm] include vibration, noise and electromagnetic issues [leading to health problems]. Delfino later told ECM that fire is also an impact that was in her notes to discuss, but time ran short","['N_2', 'N_8']","['C_10_0', 'C_12_0', 'C_6_0', 'C_8_0']"
0,"This will leave a yawning gap between supply and demand for electricity in the province. And it’s a baseload gap that cannot be filled with wind and solar. A lack of planning – we could have built up storage capacity to collect surplus wind and solar and feed it back into the grid when needed – means the province has no choice but to replace non-polluting nuclear with fossil fuel generation, according to the IESO projections.","['N_4', 'N_5']","['C_26_0', ‘C_2_2', 'C_28_4']"
1,"In order to obtain clean energy, hydropower and photovoltaics should be expanded instead of erecting 180-meter-high wind turbines, ""just because it's in"". The Lungauer also speaks out in favor of the Murkraftwerk project in Ramingstein, which was shelved earlier. Wind turbines, on the other hand, should be erected in lowlands.",[’N_5'],"['C_28_3', 'C_29_0']"
2,"for those of us who focus on the costs and benefits of various kinds of power plants within a grid system, it appears there has been an orchestrated effort through media, advertising, and public relations – even government agencies – to mislead the public about the value proposition of wind and solar.  “the duty cycle for intermittent renewable resources, wind and solar, is not operator controlled, but dependent on the weather or solar cycle (that is, sunrise/sunset)..(and so) their levelized costs are not directly comparable to those for other technologies..”","['N_4', 'N_6']","['C_26_0', 'C_32_3']"
3,"nor has there been any significant change in energy consumption. world energy consumption has tripled since 1965. from 2004 to 2021, the world spent about $5 trillion to promote renewable energy and installed more than 300,000 wind turbines. but in 2021, coal, oil, and natural gas still provided 81 percent of global energy consumption, the same percentage as in 1999. the cop climate conferences can best be characterized as futile.","['N_3', 'N_4']","['C_26_0', 'C_27_0', 'C_2_2']"
4,"yeah, well, that’s the issue. [this wind project has] been mis-sold, i think. the amount of storage that you would need just to solve the problem on paper is enormous. and when you start to cost that in, you see these very, very high costs. and then beyond that, the question in my mind is, will this system even work on a technical level? will it have the stability and the resilience and the robustness to maintain power at all times? will the frequency remain stable? will the voltages remain stable, or will the system be very vulnerable and subject to collapse, which is what i and many other engineers think will be a problem?","['N_3', 'N_4', 'N_6']","['C_26_0', 'C_27_0', 'C_32_3']"
5,"daniel wild:wind and solar can play a role on the energy system, but there’s really no social licence to be doing this.",['N_2'],['C_5_0']
7,"the turbines will be at least 906 feet in height (their blades, nearly as tall as the empire state building), with each tower weighing up to five million pounds. the approach approved by boem will provide at least a 0.81 nautical mile buffer between the ocean wind 1 wind turbines and the turbines for proposed nearby offshore wind project atlantic shores south. the buffer is designed to “minimize impacts to navigation and vessel traffic and commercial and recreational fishing.”",['N_0'],['C_0_0']
8,"there are however some very specific links between mortality and sonar survey blasting in the broader sense. first of all, the east coast humpback whale mortality rate roughly tripled beginning in 2016, which is just when offshore wind surveying really geared up. i discuss this in my article here: https://www.cfact.org/2023/01/23/evidence-says-offshore-wind-development-is-killing-lots-of-whales/. the recent humpback deaths look to be part of this long term trend. the noaa faq suggests that this huge 2016 jump in mortality might be due to a big increase in humpback numbers. this conjecture is falsified by the fact that the dramatic die-off of the severely endangered north atlantic right whales (narw) also started in 2016. given no other apparent cause, the ongoing sonar blasting surveys are the likely link between offshore wind development and ongoing elevated whale mortality. thus sentence two is false. there is a likely link.",['N_1'],"['C_1_2', 'C_32_1']"
9,"on the operations side they specifically list the impact of “project-related underwater noise”. but under avoidance, minimization and mitigation there is nothing on this topic. nothing! it is this endless noise that might push the migrating whales into the deadly nearby shipping lanes. there might be some discussion in appendix r but it is all secret.","['N_1', 'N_5', 'N_6']","['C_1_2', 'C_30_0', 'C_32_2']"
