ID,Claim,Source,Date,Climate_Feedback,Climinator,Duplicated,Veracity
147,"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.","Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",30-May-17,Incorrect,incorrect,FALSE,FALSE
148,global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,"Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",29-May-17,Inaccurate,incorrect,FALSE,FALSE
149,"Increases in atmospheric CO2 followed increases in temperature. Therefore, CO2 levels could not have forced temperatures to rise.","Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",26-May-17,Flawed_Reasoning,flawed_reasoning,FALSE,FALSE
150,climate models systematically overestimate the sensitivity of climate to carbon dioxide ... and modelers exclude forcings and feedbacks that run counter to their mission,"Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",23-May-17,Incorrect,misleading,FALSE,FALSE
151,Melting of Arctic sea ice and polar icecaps is not occurring at ‘unnatural’ rates and does not constitute evidence of a human impact on the climate.,"Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",17-May-17,Incorrect,incorrect,FALSE,FALSE
152,Best available data show sea-level rise is not accelerating. Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,"Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",08-May-17,Inaccurate,incorrect,FALSE,FALSE
153,"Solar forcings are not too small to explain twentieth century warming. In fact, their effect could be equal to or greater than the effect of CO2 in the atmosphere.","Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",03-May-17,Incorrect,incorrect,FALSE,FALSE
154,"Doubling the concentration of atmospheric CO2 from its pre-industrial level, in the absence of other forcings and feedbacks, would likely cause a warming of 0. 3°C to 1. 1°C","Craig Idso, Robert Carter and S. Fred Singer, Heartland Institute",02-May-17,Misleading,incorrect,FALSE,MISLEADING
155,"there’s this myth that’s developed around carbon dioxide that it’s a pollutant ... Carbon dioxide is a perfectly natural gas, it’s just like water vapor, it’s something that plants love.","William Happer, CNN",25-Apr-17,Misleading,misleading,FALSE,MISLEADING
156,"The temperature is not rising nearly as fast as the alarmist computer models predicted. You know, it’s much, much less, factors of 2 or 3 less.","William Happer, CNN",25-Apr-17,Incorrect,misleading,FALSE,FALSE
157,Climate projections using models based on it the water vapor feedback have consistently failed,"Jeff Jacoby, Boston Globe",16-Mar-17,Unsupported,misleading,FALSE,FALSE
158,more than 100 per cent of the warming over the past century is due to human actions,"Michael Le Page, New Scientist",11-Mar-17,Mostly_Correct,correct,FALSE,TRUE
159,I would not agree that carbon dioxide is a primary contributor to the global warming that we see.,"EPA Administrator Scott Pruitt, CNBC",10-Mar-17,Incorrect,incorrect,FALSE,FALSE
160,"90 per cent of the world’s coral reefs will disappear in the next 35 years due to coral bleaching induced by global warming, pollution and over-development.","Greg Hassall & Rebecca Latham, ABC News",27-Feb-17,Mostly_Correct,mostly_correct,FALSE,TRUE
161,world leaders were duped into investing billions over manipulated global warming data,"David Rose, Daily Mail",06-Feb-17,Unsupported,incorrect,FALSE,FALSE
162,no one really knows if last year (2016) was a (global temperature) record,"Wall Street Journal editorial, The Wall Street Journal",27-Jan-17,Unsupported,incorrect,FALSE,FALSE
163,the warming is not nearly as great as the climate change computer models have predicted.,"Wall Street Journal editorial, The Wall Street Journal",27-Jan-17,Misleading,misleading,FALSE,MISLEADING
164,Marine life has nothing whatsoever to fear from ocean acidification.,"Mike Wallace & James Delingpole, The Spectator",10-Jan-17,Unsupported,incorrect,FALSE,FALSE
165,there has been no reduction in oceanic pH levels in the last century,"Mike Wallace & James Delingpole, The Spectator",10-Jan-17,Inaccurate,incorrect,FALSE,FALSE
166,"The jet stream meanders more, with big loops bringing warm air to the frozen north and cold air into warmer southern climes.","Damian Carrington, The Guardian",21-Dec-16,Correct_But,accurate,FALSE,TRUE
167,El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,"David Rose, The Daily Mail",02-Dec-16,Misleading,misleading,FALSE,MISLEADING
168,Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,"Harrison Schmitt & Rodney Nichols, The Wall Street Journal",02-Nov-16,Unsupported,misleading,FALSE,FALSE
169,"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.","Roy Spencer, Forbes",01-Nov-16,Inaccurate,incorrect,FALSE,FALSE
170,Sea level rise could reach six or seven feet by the year 2100.,"Justin Gillis, The New York Times",06-Sep-16,Correct,correct_but,FALSE,TRUE
